,distance,complete_post_catalog_id,img_id,label,coord_x,coord_y,elevation
0,47811.00112,105001000B95E200,0,Damaged,-95.096374,29.84318,3.889017105
1,9063.737596,105001000B95E100,1,Damaged,-95.50155,29.760742,17.68099213
2,9151.313728,105001000B95E100,2,Damaged,-95.505407,29.75222,12.90317059
3,8056.123808,105001000B95E100,3,Damaged,-95.521941,29.748386,19.93457794
4,7994.005917,105001000B95E100,4,Damaged,-95.522568,29.748596,18.47795296
5,7911.094525,105001000B95E100,5,Damaged,-95.522836,29.749514,19.73840523
6,7851.380498,105001000B95E100,6,Damaged,-95.526785,29.746132,16.02447701
7,7499.250543,105001000B95E100,7,Damaged,-95.530035,29.747711,20.09745979
8,7391.424936,105001000B95E100,8,Damaged,-95.532069,29.74719,19.64710617
9,7242.152422,105001000B95E100,9,Damaged,-95.533699,29.747637,19.43510628
10,7215.515823,105001000B95E100,10,Damaged,-95.534193,29.74753,19.81502914
11,7127.403094,105001000B95E100,11,Damaged,-95.535502,29.747488,19.68679428
12,7069.445027,105001000B95E100,12,Damaged,-95.53621,29.747604,19.74284744
13,7160.968383,105001000B95E100,13,Damaged,-95.534279,29.748168,19.70230293
14,7127.45969,105001000B95E100,14,Damaged,-95.534735,29.748186,19.9060936
15,7101.563825,105001000B95E100,15,Damaged,-95.535083,29.748205,19.92636108
16,7024.594511,105001000B95E100,16,Damaged,-95.536108,29.748275,20.14718056
17,7008.320703,105001000B95E100,17,Damaged,-95.53628,29.748331,20.07228661
18,6973.221759,105001000B95E100,18,Damaged,-95.537234,29.747935,20.11215591
19,7151.970792,105001000B95E100,19,Damaged,-95.534069,29.748484,20.02699661
20,7112.951626,105001000B95E100,20,Damaged,-95.53459,29.748512,20.20047569
21,7101.313708,105001000B95E100,21,Damaged,-95.534729,29.748536,20.2227211
22,7061.757383,105001000B95E100,22,Damaged,-95.535271,29.748554,20.27158737
23,7019.561688,105001000B95E100,23,Damaged,-95.535781,29.748638,20.40450478
24,6920.535988,105001000B95E100,24,Damaged,-95.536913,29.748899,20.46614456
25,6965.629747,105001000B95E100,25,Damaged,-95.536205,29.748955,20.57399368
26,7115.479155,105001000B95E100,26,Damaged,-95.534247,29.748801,20.01680183
27,7031.654498,105001000B95E100,27,Damaged,-95.534944,29.749257,19.87952805
28,6872.422317,105001000B95E100,28,Damaged,-95.536323,29.750072,20.48537827
29,6740.8936,105001000B95E100,29,Damaged,-95.538221,29.75005,20.56315994
30,6475.449758,105001000B95E100,30,Damaged,-95.540855,29.751126,20.79999542
31,6755.028439,105001000B95E100,31,Damaged,-95.538854,29.749305,19.95888138
32,6769.202228,105001000B95E100,32,Damaged,-95.537079,29.75073,20.27302551
33,6853.467824,105001000B95E100,33,Damaged,-95.536086,29.750548,20.31851578
34,6843.221275,105001000B95E100,34,Damaged,-95.537379,29.749482,20.53110123
35,6873.51356,105001000B95E100,35,Damaged,-95.537197,29.749253,20.5215683
36,6933.566432,105001000B95E100,36,Damaged,-95.536161,29.749416,20.37472343
37,6859.236716,105001000B95E100,37,Damaged,-95.537631,29.749048,20.11789703
38,7242.832962,105001000B95E100,38,Damaged,-95.532133,29.749132,19.61923981
39,6177.074193,105001000B95E100,39,Damaged,-95.541692,29.754246,19.88724899
40,5971.648931,105001000B95E100,40,Damaged,-95.543478,29.755294,19.10202599
41,5216.971028,105001000B95E100,41,Damaged,-95.551257,29.75813,20.63302994
42,5050.119795,105001000B95E100,42,Damaged,-95.553628,29.758274,21.48895073
43,5116.256207,105001000B95E100,43,Damaged,-95.551176,29.759462,20.52418327
44,5306.654965,105001000B95E100,44,Damaged,-95.548011,29.759848,20.53409195
45,4858.868927,105001000B95E100,45,Damaged,-95.553301,29.760896,20.44370651
46,4872.629341,105001000B95E100,46,Damaged,-95.553333,29.760696,20.63294411
47,4890.133018,105001000B95E100,47,Damaged,-95.553322,29.760486,20.67170143
48,51522.52552,105001000B95E200,48,Damaged,-95.25873,29.427493,11.89990425
